SonarQube issues for isep-frontend (total: 290)

By rule (count):
  typescript:S6759: 110
  typescript:S6853: 63
  typescript:S7781: 24
  typescript:S3358: 17
  typescript:S7773: 16
  typescript:S3776: 8
  typescript:S7764: 7
  typescript:S6479: 6
  typescript:S7735: 5
  typescript:S4325: 5
  typescript:S1854: 4
  typescript:S3863: 4
  typescript:S1135: 2
  typescript:S6822: 2
  typescript:S7721: 2
  typescript:S4158: 2
  typescript:S6353: 1
  typescript:S6772: 1
  typescript:S2137: 1
  typescript:S6767: 1
  typescript:S6478: 1
  typescript:S4624: 1
  typescript:S1128: 1
  typescript:S2004: 1
  typescript:S7776: 1
  typescript:S7763: 1
  typescript:S2486: 1
  typescript:S2737: 1
  typescript:S6606: 1

--- All issues (severity | rule | file | line | message) ---
CRITICAL|typescript:S3776|src/app/meetings/actions.ts|95|Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.
CRITICAL|typescript:S3776|src/app/meetings/actions.ts|193|Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.
MAJOR|typescript:S3358|src/app/meetings/actions.ts|241|Extract this nested ternary operation into an independent statement.
MAJOR|typescript:S3358|src/app/meetings/actions.ts|316|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/meetings/error.tsx|6|Mark the props of the component as read-only.
CRITICAL|typescript:S3776|src/app/meetings/page.tsx|105|Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.
MINOR|typescript:S6759|src/app/meetings/page.tsx|105|Mark the props of the component as read-only.
MINOR|typescript:S7773|src/app/meetings/page.tsx|117|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/meetings/page.tsx|118|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/meetings/page.tsx|148|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/meetings/page.tsx|148|Prefer `Number.parseInt` over `parseInt`.
MINOR|typescript:S7773|src/app/meetings/page.tsx|159|Prefer `Number.isNaN` over `isNaN`.
MAJOR|typescript:S7721|src/app/meetings/page.tsx|170|Move function 'statusBadge' to the outer scope.
MINOR|typescript:S7781|src/app/meetings/page.tsx|326|Prefer `String#replaceAll()` over `String#replace()`.
MINOR|typescript:S6759|src/app/notifications/NotificationCentreClient.tsx|24|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/page.tsx|12|Mark the props of the component as read-only.
MINOR|typescript:S4325|src/app/page.tsx|25|This assertion is unnecessary since it does not change the type of the expression.
MINOR|typescript:S6759|src/app/papers/[id]/approval/PaperApprovalActions.tsx|10|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/papers/[id]/approval/page.tsx|23|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/app/papers/[id]/approval/page.tsx|74|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/papers/[id]/draft/PaperDraftView.tsx|60|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/papers/[id]/draft/page.tsx|15|Mark the props of the component as read-only.
MINOR|typescript:S7735|src/app/papers/[id]/draft/page.tsx|39|Unexpected negated condition.
MINOR|typescript:S6767|src/app/papers/[id]/reject/PaperRejectForm.tsx|8|'paperTitle' PropType is defined but prop is never used
MINOR|typescript:S6759|src/app/papers/[id]/reject/PaperRejectForm.tsx|10|Mark the props of the component as read-only.
MAJOR|typescript:S6853|src/app/papers/[id]/reject/PaperRejectForm.tsx|52|A form label must be associated with a control.
MAJOR|typescript:S6853|src/app/papers/[id]/reject/PaperRejectForm.tsx|64|A form label must be associated with a control.
MINOR|typescript:S6759|src/app/papers/[id]/reject/page.tsx|13|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/papers/[id]/view/page.tsx|13|Mark the props of the component as read-only.
MAJOR|typescript:S6479|src/app/papers/[id]/view/page.tsx|49|Do not use Array index in keys
MINOR|typescript:S6759|src/app/papers/page.tsx|16|Mark the props of the component as read-only.
MINOR|typescript:S4325|src/app/papers/page.tsx|87|This assertion is unnecessary since it does not change the type of the expression.
MAJOR|typescript:S3358|src/app/papers/page.tsx|91|Extract this nested ternary operation into an independent statement.
MAJOR|typescript:S3358|src/app/papers/page.tsx|92|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S4325|src/app/papers/page.tsx|97|This assertion is unnecessary since it does not change the type of the expression.
MINOR|typescript:S7781|src/app/reports/custom/CustomReportBuilder.tsx|86|Prefer `String#replaceAll()` over `String#replace()`.
MAJOR|typescript:S6479|src/app/reports/custom/CustomReportBuilder.tsx|93|Do not use Array index in keys
MINOR|typescript:S6759|src/app/reports/meeting-summary/page.tsx|9|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/session-expired/page.tsx|11|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/app/tasks/[id]/page.tsx|13|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/app/tasks/[id]/page.tsx|46|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/tasks/my/page.tsx|14|Mark the props of the component as read-only.
MAJOR|typescript:S6478|src/app/tasks/my/page.tsx|65|Move this component definition out of the parent component and pass data as props.
MAJOR|typescript:S3358|src/app/tasks/my/page.tsx|99|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S6759|src/app/tasks/page.tsx|33|Mark the props of the component as read-only.
MAJOR|typescript:S1854|src/app/tasks/team/page.tsx|41|Remove this useless assignment to variable "statuses".
MAJOR|typescript:S4624|src/app/unauthorized/UnauthorizedContent.tsx|28|Refactor this code to not use nested template literals.
MINOR|typescript:S6759|src/app/unauthorized/page.tsx|8|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/AddCommentForm.tsx|8|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/AppNav.tsx|36|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/AppNav.tsx|66|Mark the props of the component as read-only.
MAJOR|typescript:S3358|src/components/AppNav.tsx|114|Extract this nested ternary operation into an independent statement.
MINOR|typescript:S1128|src/components/AppShell.tsx|3|Remove this unused import of 'Link'.
MINOR|typescript:S6759|src/components/AppShell.tsx|12|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/ComingSoon.tsx|5|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/LoginForm.tsx|15|Mark the props of the component as read-only.
CRITICAL|typescript:S2004|src/components/LoginForm.tsx|71|Refactor this code to not nest functions more than 4 levels deep.
MINOR|typescript:S7764|src/components/LoginForm.tsx|77|Prefer `globalThis.window` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|77|Prefer `globalThis` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|82|Prefer `globalThis` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|87|Prefer `globalThis` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|87|Prefer `globalThis.window` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|91|Prefer `globalThis.window` over `window`.
MINOR|typescript:S7764|src/components/LoginForm.tsx|91|Prefer `globalThis` over `window`.
MINOR|typescript:S6759|src/components/SessionProvider.tsx|6|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/Sidebar.tsx|78|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/ai/MeetingPreparednessBanner.tsx|34|Mark the props of the component as read-only.
MINOR|typescript:S7735|src/components/ai/MeetingPreparednessBanner.tsx|75|Unexpected negated condition.
MAJOR|typescript:S6479|src/components/ai/MeetingPreparednessBanner.tsx|125|Do not use Array index in keys
MAJOR|typescript:S6479|src/components/ai/MeetingPreparednessBanner.tsx|153|Do not use Array index in keys
MINOR|typescript:S6759|src/components/ai/PositionAdvisorPanel.tsx|19|Mark the props of the component as read-only.
MINOR|typescript:S6759|src/components/ai/PositionAdvisorPanel.tsx|28|Mark the props of the component as read-only.
MINOR|typescript:S7781|src/components/ai/PositionAdvisorPanel.tsx|117|Prefer `String#replaceAll()` over `String#replace()`.
MAJOR|typescript:S6479|src/components/ai/PositionAdvisorPanel.tsx|124|Do not use Array index in keys
MINOR|typescript:S6759|src/components/editor/PaperEditor.tsx|40|Mark the props of the component as read-only.
MINOR|typescript:S7776|src/lib/api.ts|300|`ROLES_SEEING_INTERNAL` should be a `Set`, and use `ROLES_SEEING_INTERNAL.has()` to check existence or non-existence.
MINOR|typescript:S7735|src/lib/api.ts|620|Unexpected negated condition.
MINOR|typescript:S7735|src/lib/api.ts|637|Unexpected negated condition.
MINOR|typescript:S7763|src/lib/auth.ts|13|Use `export…from` to re-export `getServerSession`.
MINOR|typescript:S2486|src/lib/auth.ts|47|Handle this exception or don't catch it at all.
MINOR|typescript:S2737|src/lib/auth.ts|179|Add logic to this catch clause or eliminate it and rethrow the exception automatically.
MINOR|typescript:S6606|src/lib/mockMeetings.ts|119|Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.
CRITICAL|typescript:S3776|src/middleware.ts|22|Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.
